,Filename,Model,Name,Species,n_elect,ENMAX
189,potpaw_PBE/N_h/POTCAR,gga-pbe,N_h-gga-pbe,['N'],5.0,700.0
190,potpaw_PBE/N_h_GW/POTCAR,gga-pbe,N_h_GW-gga-pbe,['N'],5.0,755.582
191,potpaw_PBE/N_s/POTCAR,gga-pbe,N_s-gga-pbe,['N'],5.0,279.692
192,potpaw_PBE/N_s_GW/POTCAR,gga-pbe,N_s_GW-gga-pbe,['N'],5.0,296.495
193,potpaw_PBE/Na/POTCAR,gga-pbe,Na-gga-pbe,['Na'],1.0,101.968
194,potpaw_PBE/Na_pv/POTCAR,gga-pbe,Na_pv-gga-pbe,['Na'],7.0,259.561
195,potpaw_PBE/Na_sv/POTCAR,gga-pbe,Na_sv-gga-pbe,['Na'],9.0,645.64
196,potpaw_PBE/Na_sv_GW/POTCAR,gga-pbe,Na_sv_GW-gga-pbe,['Na'],9.0,372.853
197,potpaw_PBE/Nb/POTCAR,gga-pbe,Nb-gga-pbe,['Nb'],13.0,293.235
198,potpaw_PBE/Nb_pv/POTCAR,gga-pbe,Nb_pv-gga-pbe,['Nb'],11.0,208.608
199,potpaw_PBE/Nb_sv/POTCAR,gga-pbe,Nb_sv-gga-pbe,['Nb'],13.0,293.235
200,potpaw_PBE/Nb_sv_GW/POTCAR,gga-pbe,Nb_sv_GW-gga-pbe,['Nb'],13.0,353.872
201,potpaw_PBE/Nd/POTCAR,gga-pbe,Nd-gga-pbe,['Nd'],14.0,253.189
202,potpaw_PBE/Nd_3/POTCAR,gga-pbe,Nd_3-gga-pbe,['Nd'],11.0,182.619
203,potpaw_PBE/Ne/POTCAR,gga-pbe,Ne-gga-pbe,['Ne'],8.0,343.606
204,potpaw_PBE/Ne_GW/POTCAR,gga-pbe,Ne_GW-gga-pbe,['Ne'],8.0,432.275
205,potpaw_PBE/Ne_GW_soft/POTCAR,gga-pbe,Ne_GW_soft-gga-pbe,['Ne'],8.0,318.26
206,potpaw_PBE/Ne_s_GW/POTCAR,gga-pbe,Ne_s_GW-gga-pbe,['Ne'],8.0,318.26
207,potpaw_PBE/Ni/POTCAR,gga-pbe,Ni-gga-pbe,['Ni'],10.0,269.532
208,potpaw_PBE/Ni_GW/POTCAR,gga-pbe,Ni_GW-gga-pbe,['Ni'],10.0,357.323
209,potpaw_PBE/Ni_pv/POTCAR,gga-pbe,Ni_pv-gga-pbe,['Ni'],16.0,367.986
210,potpaw_PBE/Ni_sv_GW/POTCAR,gga-pbe,Ni_sv_GW-gga-pbe,['Ni'],18.0,389.645
211,potpaw_PBE/Np/POTCAR,gga-pbe,Np-gga-pbe,['Np'],15.0,254.26
212,potpaw_PBE/Np_s/POTCAR,gga-pbe,Np_s-gga-pbe,['Np'],15.0,207.713
213,potpaw_PBE/O/POTCAR,gga-pbe,O-gga-pbe,['O'],6.0,400.0
214,potpaw_PBE/O_GW/POTCAR,gga-pbe,O_GW-gga-pbe,['O'],6.0,414.635
215,potpaw_PBE/O_GW_new/POTCAR,gga-pbe,O_GW_new-gga-pbe,['O'],6.0,434.431
216,potpaw_PBE/O_h/POTCAR,gga-pbe,O_h-gga-pbe,['O'],6.0,700.0
217,potpaw_PBE/O_h_GW/POTCAR,gga-pbe,O_h_GW-gga-pbe,['O'],6.0,765.519
218,potpaw_PBE/O_s/POTCAR,gga-pbe,O_s-gga-pbe,['O'],6.0,282.853
219,potpaw_PBE/O_s_GW/POTCAR,gga-pbe,O_s_GW-gga-pbe,['O'],6.0,334.664
220,potpaw_PBE/Os/POTCAR,gga-pbe,Os-gga-pbe,['Os'],8.0,228.022
221,potpaw_PBE/Os_pv/POTCAR,gga-pbe,Os_pv-gga-pbe,['Os'],14.0,228.022
222,potpaw_PBE/Os_sv_GW/POTCAR,gga-pbe,Os_sv_GW-gga-pbe,['Os'],16.0,319.773
223,potpaw_PBE/P/POTCAR,gga-pbe,P-gga-pbe,['P'],5.0,255.04
224,potpaw_PBE/P_GW/POTCAR,gga-pbe,P_GW-gga-pbe,['P'],5.0,255.04
225,potpaw_PBE/P_h/POTCAR,gga-pbe,P_h-gga-pbe,['P'],5.0,390.202
226,potpaw_PBE/Pa/POTCAR,gga-pbe,Pa-gga-pbe,['Pa'],13.0,252.193
227,potpaw_PBE/Pa_s/POTCAR,gga-pbe,Pa_s-gga-pbe,['Pa'],11.0,193.466
228,potpaw_PBE/Pb/POTCAR,gga-pbe,Pb-gga-pbe,['Pb'],4.0,97.973
229,potpaw_PBE/Pb_d/POTCAR,gga-pbe,Pb_d-gga-pbe,['Pb'],14.0,237.835
230,potpaw_PBE/Pb_d_GW/POTCAR,gga-pbe,Pb_d_GW-gga-pbe,['Pb'],16.0,237.809
231,potpaw_PBE/Pb_sv_GW/POTCAR,gga-pbe,Pb_sv_GW-gga-pbe,['Pb'],22.0,317.193
232,potpaw_PBE/Pd/POTCAR,gga-pbe,Pd-gga-pbe,['Pd'],10.0,250.925
233,potpaw_PBE/Pd_GW/POTCAR,gga-pbe,Pd_GW-gga-pbe,['Pd'],10.0,250.925
234,potpaw_PBE/Pd_pv/POTCAR,gga-pbe,Pd_pv-gga-pbe,['Pd'],16.0,250.925
235,potpaw_PBE/Pd_sv_GW/POTCAR,gga-pbe,Pd_sv_GW-gga-pbe,['Pd'],18.0,356.093
236,potpaw_PBE/Pm/POTCAR,gga-pbe,Pm-gga-pbe,['Pm'],15.0,258.627
